SH0385
WL[nm],[T%]
553,2.394660078e-05
554,8.478226476e-08
555,-0.0001588128798
556,-5.450546087e-05
557,-0.0001920896029
558,-0.0001214499207
559,-1.165060166e-05
560,-4.710455687e-05
561,-0.0001646937599
562,5.512547432e-05
563,-7.135439228e-05
564,-0.0001303196186
565,-5.174199032e-06
566,-3.468671639e-05
567,4.820717095e-06
568,-1.49270063e-05
569,-5.908185631e-05
570,-8.242907643e-05
571,4.006281961e-05
572,0.0001298613788
573,0.0002976951946
574,-0.00023933583
575,-2.156956498e-06
576,0.0002283389913
577,0.0002381919039
578,0.0001476275793
579,0.0005033794441
580,0.000555603765
581,0.0005436472129
582,0.0009905534098
583,0.001224627718
584,0.002026362345
585,0.003057919443
586,0.006285862066
587,0.01304585021
588,0.02850540914
589,0.04613701254
590,0.04711657017
591,0.03224212676
592,0.01816817187
593,0.01099507138
594,0.007529844064
595,0.006148297805
596,0.004911376629
597,0.004561404232
598,0.004234744236
599,0.003922694828
600,0.00394414179
601,0.003787945723
602,0.004145544022
603,0.004226454534
604,0.004655299708
605,0.004995848984
606,0.005799373146
607,0.006593813188
608,0.007900598459
609,0.009383791126
610,0.01178465784
611,0.01527673285
612,0.0196992401
613,0.02671477944
614,0.03684357181
615,0.049915649
616,0.06438206136
617,0.07516733557
618,0.07743358612
619,0.07098085433
620,0.05974529311
621,0.04868879169
622,0.03958329931
623,0.03294828162
624,0.02796379849
625,0.02451509982
626,0.02179294638
627,0.02023403905
628,0.0190993119
629,0.01801652275
630,0.01766467281
631,0.01749891788
632,0.01778563485
633,0.01798979007
634,0.01862403937
635,0.01949517988
636,0.0206836313
637,0.02204996347
638,0.02413416654
639,0.02669820189
640,0.02983159199
641,0.03357773647
642,0.03850625828
643,0.04447180033
644,0.05232150853
645,0.06230703369
646,0.07518528402
647,0.0917807892
648,0.1138344407
649,0.1417448968
650,0.1779830009
651,0.2230663151
652,0.2752698362
653,0.332578361
654,0.3872686327
655,0.4298282266
656,0.4543170333
657,0.4580618441
658,0.4449906349
659,0.4228129983
660,0.3967454731
661,0.3718651831
662,0.350056082
663,0.3315138519
664,0.3190099299
665,0.3098896742
666,0.3053793013
667,0.3043431044
668,0.30682531
669,0.3137144446
670,0.3241840303
671,0.3390979469
672,0.3589831889
673,0.3835883737
674,0.4152002633
675,0.4532824159
676,0.5005278587
677,0.5593413115
678,0.6307091117
679,0.718517065
680,0.8283156157
681,0.964722693
682,1.138592958
683,1.353388906
684,1.631279826
685,1.986614466
686,2.446832418
687,3.049881697
688,3.822770596
689,4.845653534
690,6.177832127
691,7.87609911
692,10.00968456
693,12.56985474
694,15.50623894
695,18.67942238
696,21.74622345
697,24.53450203
698,26.80773163
699,28.5312767
700,29.81614113
