WL[nm],[T%]
573,96.51792908
574,96.46261597
575,96.43232727
576,96.38185883
577,96.34822845
578,96.32620239
579,96.36175537
580,96.37674713
581,96.3897171
582,96.36655426
583,96.38122559
584,96.44569397
585,96.51978302
586,96.55262756
587,96.60444641
588,96.66768646
589,96.73378754
590,96.78562164
591,96.8337326
592,96.8299408
593,96.842453
594,96.89174652
595,96.92961121
596,96.93769836
597,96.90969849
598,96.92125702
599,96.9316864
600,96.89414978
601,96.85740662
602,96.7868576
603,96.72634888
604,96.7135849
605,96.68067932
606,96.626297
607,96.59371948
608,96.54742432
609,96.51679993
610,96.49610138
611,96.48117065
612,96.46422577
613,96.42713928
614,96.46599579
615,96.49604034
616,96.53238678
617,96.53752136
618,96.55264282
619,96.6239624
620,96.65437317
621,96.69512939
622,96.73765564
623,96.76855469
624,96.840271
625,96.89512634
626,96.9348526
627,96.92234039
628,96.94451141
629,96.95895386
630,96.97423553
631,96.96575165
632,96.93685913
633,96.92465973
634,96.93247986
635,96.87308502
636,96.84007263
637,96.75843048
638,96.67977905
639,96.63074493
640,96.58288574
641,96.53066254
642,96.45558167
643,96.38568878
644,96.37435913
645,96.32215881
646,96.23080444
647,96.17590332
648,96.12992096
649,96.10616302
650,96.10257721
651,96.09978485
652,96.08795929
653,96.06648254
654,96.0729599
655,96.11535645
656,96.13540649
657,96.11940002
658,96.12897491
659,96.17354584
660,96.2232132
661,96.26210785
662,96.29875946
663,96.28784943
664,96.32581329
665,96.36551666
666,96.36994934
667,96.38275146
668,96.36535645
669,96.38957977
670,96.41575623
671,96.40480042
672,96.37996674
673,96.3468399
674,96.3065567
675,96.27432251
676,96.2231369
677,96.17731476
678,96.11594391
679,96.07956696
680,96.06669617
681,95.98223877
682,95.92668152
683,95.84913635
684,95.79060364
685,95.76332092
686,95.72861481
687,95.67967987
688,95.66056061
689,95.60237122
690,95.60894012
691,95.58563232
692,95.58861542
693,95.54592133
694,95.53588867
695,95.57572937
696,95.61177826
697,95.64370728
698,95.6536026
699,95.68651581
700,95.72493744
701,95.77643585
702,95.80255127
703,95.82443237
704,95.88739014
705,95.94213104
706,96.00791168
707,96.03807068
708,96.08921051
709,96.10178375
710,96.13567352
711,96.17842102
712,96.18793488
713,96.1581192
714,96.18335724
715,96.21195984
716,96.20606995
717,96.2154541
718,96.16104126
719,96.14768982
720,96.10433197
721,96.07657623
722,96.05026245
723,95.97180939
724,95.91603851
725,95.8826828
726,95.83755493
727,95.77997589
728,95.69828796
729,95.62221527
730,95.57276154
731,95.54714966
732,95.48144531
733,95.42708588
734,95.33656311
735,95.31324768
736,95.30500793
737,95.26184082
738,95.2009964
739,95.16129303
740,95.13774872
741,95.13821411
742,95.1494751
743,95.12123108
744,95.10006714
745,95.11652374
746,95.14834595
747,95.15106201
748,95.12918854
749,95.18393707
750,95.18565369
751,95.22633362
752,95.25297546
753,95.27895355
754,95.34425354
755,95.33595276
756,95.41707611
757,95.4473877
758,95.46916199
759,95.47686768
760,95.510849
761,95.56465149
762,95.6194458
763,95.62535858
764,95.64558411
765,95.64694977
766,95.6907196
767,95.73281097
768,95.66478729
769,95.66267395
770,95.69245911
771,95.69875336
772,95.71014404
773,95.69681549
774,95.66023254
775,95.63477325
776,95.62232971
